gamedev,dev,godot,expectations,struggles,topics,tutorial_disliked,tutorial_liked,improve,assignments,comments
professional,professional,personal projects,"Gluing a project's spare parts together into a cohesive game, beyond the basics of making nodes, scripts and individual scenes",Planning and stepping out of prototyping phases,Game feel;Visual effects;Code structure;Project organization,I've not kept up that much with the youtube tutorials,I've not kept up that much with the youtube tutorials,Presentation and some entertainment is key - too many tutorial makers fall into the trap of just talking. InfallibleCode's (more recent) tutorials strike a pretty nice balance.,Yes,
hobbyist,professional,personal projects,,,Visual effects;Code structure;Combat;Project organization;Team work;Artificial intelligence,,,,Yes,
hobbyist,professional,personal projects,,,Game feel;Visual effects;Code structure;Combat;Project organization;Team work;Artificial intelligence,,,,Yes,
student,foundations,never used,To get a solid foundation of game develop,Where to begin when it comes to take a videogame project,Game feel;Code structure;Project organization;Team work,,,,Yes,
hobbyist,completed games,personal projects,"1. Create a character that feels good to control. Since a lot of Metroidvanias are pretty fast and let the player get the ""flow"", a character that felt responsive and fun to control seems one the major point of a metroidvania. If you had try games like hollow knight, dead cells or metroid fusion, character are agile and respond really fast. They can jump, double jump, wall jump, roll, dash etc...

2. How to improve my rooms creation workflow. Like in metroid, enemies are not the only danger, there is lava, spikes, moving platform etc... How to create all those items without re-inventing the wheel every time could be great. Also, I don't know if godot support this, but an equivalent to a gameobject prefabs in Unity. Example: I want to place a spike in my scene, can I create a spike tilemap to do it or do I need to place them by hand.

3. How to update and keep the player upgrade. Certainly, the biggest feature of a Metroidvania, is the ability to unlock new capacity for our character. I remember that I needed to make my own save system in Unity to keep them and knowing how to it in Godot would be great.","Character movement, I really want a great feels with it. 

Architecture of the game, how to connect everything together without creating a big ""spaguetti"" code.",Game feel;Visual effects;Code structure;Combat;Project organization;Artificial intelligence;How do you manage your animation when you use multiple spritesheet ?,"I don't have example since all video seems relevant and well writes. My main complain, if I want to be picky, the sound quality can change a lot between witch member of the channel voice the video. But it is really a small issue.",https://www.youtube.com/watch?v=V9OoaOlXc_4 what pretty clear about how the new system work. ,"A small overview of which content gonna be explained at the begin of the video could be great. 
E.g. 
tilemap
 - What new between the old and new system
- How to use bitmask
etc..
It can be helpful for people that get the video only for a specific part.",Yes,Just keep the good work !
hobbyist,small programs,personal projects,efficient ways of doing things,ideas,Level design;Code structure,,,"I think structuring them into an overall project is really helpful, especially when first starting out.",Yes,Are you likely to expand on the C# video you put up?
hobbyist,professional,finished game,professional tips and patterns,History / Gameplay,Visual effects;Code structure;Project organization;Maths for game programming,,,,Maybe,
hobbyist,professional,personal projects,"Best practices, how to accomplish tasks in Godot, what making a game looks like from beginning to end in a natural way. At what points does one decide to refactor their game code? What are good abstractions to help scale games from small project to a bigger one?",Prototyping - spending enough time on an idea to know whether it is worth pursuing,Visual effects;Level design;Code structure;Project organization;Artificial intelligence;Maths for game programming,,,,Yes,You guys rock. Keep up the good work!
hobbyist,professional,personal projects,Learn recommended usage of Godot.,Making something that is actually fun.,Game feel;Level design;Project organization;Team work,,,Provide web pages that correspond to content in video.,Maybe,
hobbyist,small programs,foundations,"How to organize a game project, how to take advantage of the scene and node system, how to write good game code.","Figuring out where to start a game. Specifically in the case of Godot Engine, which nodes are the right ones to use for a given situation.",Level design;Code structure;Project organization;Maths for game programming,I haven't watched many of them but I liked all of the ones I've seen and learned from every one.,I have really enjoyed watching the new features in Godot 3.1. They are very clear and they have helped me to understand the new features in this version.,"As I mentioned, I haven't watched very many videos so maybe you already do this but I like learning what not to do in addition to good practices. In other words, examples of common mistakes, how to avoid them, and how to debug issues that arise. I like it when a mistake is made, intentionally or not, and I am shown how to find and fix it.",Yes,I'm really looking forward to this course. In preparation I am how to view more of the free tutorials you have made before this course is released.
